code,title,price,image_url,description,colour,material,category,style
ARON001,Aaron 160cm Marble Grey Dining Table,849,https://www.oakandmore.co.uk/static/media/catalog/product/0/6/0636_aaron_grey-17-05-2019_day_02_.jpg,"The Aaron collection is crafted with luxurious engineered marble for dining spaces seeking class, elegance and durability. Gorgeous cool colours and a beautifully shaped base make the presence of these magnificent tables known.",Grey,Marble,Dining Tables,Contemporary
ARON002,Aaron 160cm Marble White Dining Table,849,https://www.oakandmore.co.uk/static/media/catalog/product/a/a/aaron_white_table_1.jpg,"The Aaron collection is crafted with luxurious engineered marble for dining spaces seeking class, elegance and durability. Gorgeous cool colours and a beautifully shaped base make the presence of these magnificent tables known.",White,Marble,Dining Tables,Contemporary
HSW010,Alba Oak and Soft White Painted 4 Drawer Coffee Table,349,https://www.oakandmore.co.uk/static/media/catalog/product/a/l/alba_4_drawer_coffee_table_front_new.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Coffee Tables,Scandinavian
HSW018,Alba Oak and Soft White Painted Blanket Box,269,https://www.oakandmore.co.uk/static/media/catalog/product/b/l/blanket_box_-_front.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Blanket Boxes,Scandinavian
HSW009,Alba Oak and Soft White Painted Computer Desk,579,https://www.oakandmore.co.uk/static/media/catalog/product/c/o/computer_desk_front.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Desks,Scandinavian
HSW019,Alba Oak and Soft White Painted Double Wardrobe,799,https://www.oakandmore.co.uk/static/media/catalog/product/d/o/double_wardrobe_front.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Wardrobes,Scandinavian
HSW002,Alba Oak and Soft White Painted Extra Large Sideboard,579,https://www.oakandmore.co.uk/static/media/catalog/product/e/x/extra_wide_sideboard_front_updated.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Sideboards,Scandinavian
HSW004,Alba Oak and Soft White Painted Hallway Sideboard,299,https://www.oakandmore.co.uk/static/media/catalog/product/h/a/hallway_sideboard_front.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Sideboards,Scandinavian
HSW006,Alba Oak and Soft White Painted Large TV Cabinet,399,https://www.oakandmore.co.uk/static/media/catalog/product/w/i/wide_tv_unit_front.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,TV Units,Scandinavian
HSW020,Alba Oak and Soft White Painted Triple Wardrobe,999,https://www.oakandmore.co.uk/static/media/catalog/product/t/r/triple_wardrobe_front.jpg,"The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a solid hardwood frame with a soft white painted finish, topped with 100% solid oak - a stunning update on that timeless two-toned look.",White,Hardwood,Wardrobes,Scandinavian
HSW023,Alba Soft White Painted Double Bed,479,https://www.oakandmore.co.uk/static/media/catalog/product/h/a/harper_softwhite_s_feed_1.jpg,The Alba Oak and White Painted Collection blends modern design and durability. Every item in this range features a sturdy solid hardwood frame with a smooth soft white painted finish.,White,Hardwood,Beds,Scandinavian
ALBANY002,Albany Charcoal Fabric 2 Seater Recliner Sofa,799,https://www.oakandmore.co.uk/static/media/catalog/product/a/l/albany002-_1_-albany_charcoal_fabric_2_seater-lifestyle-web-pdp.jpg,"The Albany Collection combines generous cushioning, pocket spring support, and soft fabric. Each piece is designed for comfort and convenience, with power recline at the touch of a button and built-in USB and USB-C ports.",Charcoal,Fabric,Recliners,Transitional
ALBANY003,Albany Charcoal Fabric 3 Seater Recliner Sofa,999,https://www.oakandmore.co.uk/static/media/catalog/product/a/l/albany003-_1_-albany_charcoal_fabric_3_seater-lifestyle-web-pdp.jpg,"The Albany Collection combines generous cushioning, pocket spring support, and soft fabric. Each piece is designed for comfort and convenience, with power recline at the touch of a button and built-in USB and USB-C ports.",Charcoal,Leather,Recliners,Transitional
ALBANY001,Albany Charcoal Fabric Recliner Armchair,599,https://www.oakandmore.co.uk/static/media/catalog/product/a/l/albany001-_1_-albany_charcoal_fabric_armchair-lifestyle-web-pdp.jpg,"The Albany Collection combines generous cushioning, pocket spring support, and soft fabric. Each piece is designed for comfort and convenience, with power recline at the touch of a button and built-in USB and USB-C ports.",Charcoal,Leather,Recliners,Transitional
ALIC002,Alicia 180cm White Marble Dining Table,699,https://www.oakandmore.co.uk/static/media/catalog/product/3/4/3434_antonio_white_marble_day_8_53712-02-10-2019_.jpg,"The superb Alicia collection of tables makes use of luxurious marble and smooth shaping for a glorious effect.  A unique, elegantly carved base serves as the focal point for this stunning collection.",White,Marble,Dining Tables,Contemporary
ANI021,Ancona Oak and Soft Green Painted Dressing Table Stool,69,https://www.oakandmore.co.uk/static/media/catalog/product/a/n/ani021.jpg,"The Ancona Oak and Soft Green Painted Collection brings a touch of retro elegance to any space. Every item in this collection is crafted using only 100% solid oak and solid hardwood, with no veneer, MDF or chipboard.",Green,Hardwood,Stools,Mid Century Modern
